gene_name,gene_id,n_exons,total_count
TSPAN7,ENSG00000156298,35,796425
ZSCAN18,ENSG00000121413,70,795733
ACO2,ENSG00000100412,91,794382
DYNC1LI2,ENSG00000135720,55,792794
NUDT3,ENSG00000272325,16,792568
PPP2R1A,ENSG00000105568,81,791246
RACK1,ENSG00000204628,94,789007
TMSB4X,ENSG00000205542,18,788750
RPS6,ENSG00000137154,43,788288
ZBTB4,ENSG00000174282,27,787932
YWHAH,ENSG00000128245,16,785101
AARS1,ENSG00000090861,97,784575
GJA1,ENSG00000152661,13,783313
EIF4G2,ENSG00000110321,89,783230
ITPK1,ENSG00000100605,39,781166
RPL26,ENSG00000161970,74,780756
CAMK2D,ENSG00000145349,114,779492
CTNND2,ENSG00000169862,62,775497
SKP1,ENSG00000113558,60,769055
DLG1,ENSG00000075711,191,768784
RTN1,ENSG00000139970,29,768724
TOLLIP,ENSG00000078902,43,766994
FYN,ENSG00000010810,142,766664
NPIPB5,ENSG00000243716,78,765303
ERMN,ENSG00000136541,31,764929
MYT1L,ENSG00000186487,140,764393
PTK2,ENSG00000169398,178,764245
MYH9,ENSG00000100345,115,762971
VIM,ENSG00000026025,35,761114
ENSG00000270066,ENSG00000270066,10,760892
FAM66A,ENSG00000227888,405,760286
HLA-A,ENSG00000206503,64,758511
VCP,ENSG00000165280,94,757841
WBP2,ENSG00000132471,43,757605
MAPK8IP3,ENSG00000138834,70,756321
RPS27A,ENSG00000143947,63,755103
PABPC1,ENSG00000070756,109,753722
SPG7,ENSG00000197912,215,752070
DHCR24,ENSG00000116133,49,749003
ARPP19,ENSG00000128989,37,746901
RPL7A,ENSG00000148303,45,746046
KCNMA1,ENSG00000156113,168,745287
CD74,ENSG00000019582,44,744517
GPI,ENSG00000105220,62,744037
TUBA1C,ENSG00000167553,30,744019
CNDP2,ENSG00000133313,157,743742
USP11,ENSG00000102226,71,742800
KMT2C,ENSG00000055609,180,742751
YY1AP1,ENSG00000163374,157,742727
RPS3,ENSG00000149273,83,736713
PACSIN1,ENSG00000124507,22,732243
ATP2A2,ENSG00000174437,49,732115
CAMK2G,ENSG00000148660,125,730375
GIT1,ENSG00000108262,74,730206
PKP4,ENSG00000144283,77,729133
MFN2,ENSG00000116688,128,727407
RPS20,ENSG00000008988,41,727196
NCS1,ENSG00000107130,23,727147
SYNPO,ENSG00000171992,17,726605
ENSG00000291073,ENSG00000291073,106,726382
APBB1,ENSG00000166313,69,726067
GDAP1,ENSG00000104381,93,723914
ATP5F1B,ENSG00000110955,63,723233
DBNDD2,ENSG00000244274,44,722139
DNAJC5,ENSG00000101152,23,721325
DGCR2,ENSG00000070413,58,719028
MUC20-OT1,ENSG00000242086,369,718077
ENSG00000259135,ENSG00000259135,26,717333
ENSG00000259002,ENSG00000259002,30,716721
ITM2C,ENSG00000135916,20,713091
SQSTM1,ENSG00000161011,55,712076
GPM6B,ENSG00000046653,28,711661
ATP1B2,ENSG00000129244,19,708957
SCN3B,ENSG00000166257,39,708913
ARHGEF9,ENSG00000131089,114,707366
NFE2L2,ENSG00000116044,123,707208
SPIN1,ENSG00000106723,113,706978
EPN2,ENSG00000072134,106,704373
OPTN,ENSG00000123240,129,703981
ACADVL,ENSG00000072778,153,703980
ENSG00000304309,ENSG00000304309,207,702726
UBA52,ENSG00000221983,79,698550
CELF4,ENSG00000101489,92,695391
EIF4B,ENSG00000063046,64,694137
ADD3,ENSG00000148700,130,693424
KCNA2,ENSG00000177301,51,690748
PPM1A,ENSG00000100614,137,690039
NUCB1,ENSG00000104805,106,689264
ENSG00000303745,ENSG00000303745,13,688799
TUBB,ENSG00000196230,20,687298
ARNT2,ENSG00000172379,42,686883
TNK2,ENSG00000061938,87,686667
DDB1,ENSG00000167986,144,685863
ABHD2,ENSG00000140526,71,685760
MAPK8IP2,ENSG00000008735,35,685397
RPLP2,ENSG00000177600,49,684238
CYB5R3,ENSG00000100243,75,681473
DNAJB2,ENSG00000135924,50,680620
KALRN,ENSG00000160145,168,680493
RPLP0,ENSG00000089157,75,680135
CEROX1,ENSG00000260807,56,679783
SCAMP5,ENSG00000198794,65,676413
TMEM144,ENSG00000164124,72,676165
CBX7,ENSG00000100307,40,674611
ZBTB20,ENSG00000181722,306,673666
CASC3,ENSG00000108349,76,672182
CBX6,ENSG00000183741,12,671218
NEBL,ENSG00000078114,101,671069
KIDINS220,ENSG00000134313,103,670778
TCF4,ENSG00000196628,218,670300
MINK1,ENSG00000141503,88,669580
GNA12,ENSG00000146535,36,668464
ENSG00000300022,ENSG00000300022,247,667651
NEFL,ENSG00000277586,7,667613
HNRNPH1,ENSG00000169045,145,667036
ENSG00000285043,ENSG00000285043,30,667005
NRSN2,ENSG00000125841,61,665073
TMEM59L,ENSG00000105696,32,664746
HSP90B1,ENSG00000166598,82,664739
MTND1P23,ENSG00000225972,1,663027
SLC22A17,ENSG00000092096,30,662527
PICALM,ENSG00000073921,101,662275
RPL18,ENSG00000063177,55,661113
MCF2L,ENSG00000126217,107,661047
RPL32,ENSG00000144713,56,660287
RPL41,ENSG00000229117,19,660002
PTPRZ1,ENSG00000106278,78,659099
PSME3IP1,ENSG00000172775,157,658403
TMEM184B,ENSG00000198792,62,658256
AATK,ENSG00000181409,39,657564
ATP2B2,ENSG00000157087,48,656753
RAB11FIP3,ENSG00000090565,61,656668
SYT11,ENSG00000132718,12,655480
BBS2,ENSG00000125124,163,655469
CARNS1,ENSG00000172508,34,655095
ADIPOR2,ENSG00000006831,77,655072
SREBF2,ENSG00000198911,63,655051
THRB,ENSG00000151090,112,654450
SYP,ENSG00000102003,28,654191
NCOR2,ENSG00000196498,107,652898
SELENOW,ENSG00000178980,31,651669
SEMA3B,ENSG00000012171,78,651233
EIF3C,ENSG00000184110,83,648805
5_8S_rRNA,ENSG00000283274,6,648475
ITM2B,ENSG00000136156,42,648458
RNA5-8SN2,ENSG00000278233,1,648316
RNA5-8SN1,ENSG00000278189,1,648308
RNA5-8SN3,ENSG00000275215,1,648294
CTNND1,ENSG00000198561,113,647382
SLC8A1,ENSG00000183023,66,646754
EIF4A1,ENSG00000161960,92,646611
HSPA1B,ENSG00000204388,1,645513
PAK1,ENSG00000149269,110,644535
PTP4A2,ENSG00000184007,50,644218
DENND5A,ENSG00000184014,95,643142
RPL28,ENSG00000108107,52,642579
ATP6V0E2,ENSG00000171130,33,641334
NUMA1,ENSG00000137497,115,640552
ENSG00000290823,ENSG00000290823,159,637893
KIAA0513,ENSG00000135709,31,637222
EPS15,ENSG00000085832,93,635046
RPL9,ENSG00000163682,60,633139
RAF1,ENSG00000132155,164,632717
PYGB,ENSG00000100994,61,631554
HK1,ENSG00000156515,99,630181
ARHGEF12,ENSG00000196914,77,626807
DLG4,ENSG00000132535,65,624472
RASSF2,ENSG00000101265,43,622779
SMARCA4,ENSG00000127616,200,622266
DDX17,ENSG00000100201,31,621456
CADM3,ENSG00000162706,21,621188
PCDH9,ENSG00000184226,14,620774
ZFAND5,ENSG00000107372,36,620416
MID1IP1,ENSG00000165175,27,620323
NXPE3,ENSG00000144815,114,619924
OS9,ENSG00000135506,104,619683
DMTN,ENSG00000158856,53,619425
HNRNPK,ENSG00000165119,103,616836
TBC1D9B,ENSG00000197226,71,615814
TSPYL2,ENSG00000184205,34,615305
HSPA5,ENSG00000044574,36,614980
KLHL24,ENSG00000114796,115,614887
MARK3,ENSG00000075413,149,613814
CIT,ENSG00000122966,121,613191
JADE2,ENSG00000043143,82,610450
NAP1L4,ENSG00000205531,132,609375
PTPRF,ENSG00000142949,102,608282
B3GALNT1,ENSG00000169255,205,607898
KIF3C,ENSG00000084731,23,607368
WFS1,ENSG00000109501,53,607279
BEST1,ENSG00000167995,28,606674
STAT3,ENSG00000168610,114,605748
MAST3,ENSG00000099308,49,605670
CHD4,ENSG00000111642,173,605542
EIF1,ENSG00000173812,20,604302
ARL6IP4,ENSG00000182196,111,603446
RPS9,ENSG00000170889,52,601716
GRIPAP1,ENSG00000068400,184,601404
FAM168A,ENSG00000054965,28,599234
OCIAD1,ENSG00000109180,134,598222
CLCC1,ENSG00000121940,195,598032
LYNX1,ENSG00000180155,26,597908
RBM39,ENSG00000131051,140,597641
ANK3,ENSG00000151150,113,596348
AGAP2,ENSG00000135439,26,596327
SEPTIN7,ENSG00000122545,53,595687
ENSG00000269968,ENSG00000269968,6,595496
ADCYAP1R1,ENSG00000078549,41,595391
GRINA,ENSG00000178719,45,593899
NCKAP1,ENSG00000061676,89,593595
TPM4,ENSG00000167460,88,593009
NPTX1,ENSG00000171246,13,592591
CERCAM,ENSG00000167123,56,592400
TTYH1,ENSG00000167614,53,591423
S100B,ENSG00000160307,27,591053
AP3D1,ENSG00000065000,102,590878
ZMYND11,ENSG00000015171,126,589903
CAMKV,ENSG00000164076,54,589357
SPAG9,ENSG00000008294,99,588716
ZBTB16,ENSG00000109906,80,588155
AHNAK,ENSG00000124942,21,587986
ACTN4,ENSG00000130402,70,587855
ARHGDIA,ENSG00000141522,43,587826
TYRO3,ENSG00000092445,57,586947
PNMA2,ENSG00000240694,26,586670
MRTFB,ENSG00000186260,62,585755
RPL8,ENSG00000161016,36,585534
MYO18A,ENSG00000196535,106,584986
RPL31,ENSG00000071082,39,584935
GORASP1,ENSG00000114745,120,584468
PRKACB,ENSG00000142875,48,584141
HERC2P3,ENSG00000290376,137,583653
ENSG00000289901,ENSG00000289901,1,583597
PLEKHA6,ENSG00000143850,104,582937
HSPA9,ENSG00000113013,90,582626
SH3GLB2,ENSG00000148341,66,582568
NOMO3,ENSG00000103226,87,581532
PODXL,ENSG00000128567,52,581467
LDHA,ENSG00000134333,86,580791
HERC2P9,ENSG00000206149,156,580690
OLFM1,ENSG00000130558,29,580038
TSPAN14,ENSG00000108219,106,579073
ENSG00000310523,ENSG00000310523,157,578992
ATP5F1A,ENSG00000152234,64,578560
RPS16,ENSG00000105193,46,577726
BSN,ENSG00000164061,14,576849
