gene_name,gene_id,n_exons,total_count
RN7SKP264,ENSG00000223012,1,114
ENSG00000176134,ENSG00000176134,2,114
ENSG00000297880,ENSG00000297880,6,114
ENSG00000254833,ENSG00000254833,2,114
SRSF3P1,ENSG00000257043,1,114
ENSG00000299482,ENSG00000299482,1,114
ENSG00000308338,ENSG00000308338,2,114
ENSG00000309913,ENSG00000309913,5,114
ENSG00000288893,ENSG00000288893,2,114
LINC03068,ENSG00000234311,4,114
ENSG00000289892,ENSG00000289892,8,114
ENSG00000256070,ENSG00000256070,1,114
ENSG00000286907,ENSG00000286907,7,114
RNU4-24P,ENSG00000201435,1,114
RN7SKP162,ENSG00000200475,1,114
ENSG00000294335,ENSG00000294335,4,114
ENSG00000302947,ENSG00000302947,5,114
LINC02456,ENSG00000283052,16,114
ENSG00000285528,ENSG00000285528,4,114
ENSG00000289133,ENSG00000289133,1,114
ENSG00000299388,ENSG00000299388,12,114
OR7E155P,ENSG00000234655,1,114
ENSG00000289340,ENSG00000289340,1,114
RPL21P115,ENSG00000243568,1,114
ENSG00000260739,ENSG00000260739,2,114
ENSG00000260072,ENSG00000260072,8,114
SNRPGP17,ENSG00000271063,1,114
MIR6865,ENSG00000278517,1,114
HOXB2,ENSG00000173917,6,114
ENSG00000309397,ENSG00000309397,4,114
ENSG00000310157,ENSG00000310157,2,114
ENSG00000294154,ENSG00000294154,12,114
RNU6-435P,ENSG00000206766,1,114
ENSG00000295415,ENSG00000295415,2,114
ENSG00000295895,ENSG00000295895,1,114
ENSG00000298379,ENSG00000298379,11,114
RNU105B,ENSG00000201348,1,114
ENSG00000308785,ENSG00000308785,1,114
ENSG00000302595,ENSG00000302595,3,114
ENSG00000302962,ENSG00000302962,1,114
ACO2P1,ENSG00000235485,1,114
RIPPLY3,ENSG00000183145,7,114
ENSG00000231296,ENSG00000231296,1,113
RPL21P25,ENSG00000232514,1,113
LORICRIN,ENSG00000203782,2,113
ENSG00000233411,ENSG00000233411,2,113
LINC02780,ENSG00000284668,25,113
ENSG00000307581,ENSG00000307581,2,113
ENSG00000260331,ENSG00000260331,1,113
RN7SKP179,ENSG00000251935,1,113
ENSG00000213115,ENSG00000213115,1,113
ATP5F1AP2,ENSG00000227682,1,113
ENSG00000294223,ENSG00000294223,1,113
ENSG00000229131,ENSG00000229131,7,113
ENSG00000308040,ENSG00000308040,2,113
MIR933,ENSG00000215973,1,113
ENSG00000296578,ENSG00000296578,6,113
ENSG00000297356,ENSG00000297356,8,113
ENSG00000303385,ENSG00000303385,2,113
RPL21P49,ENSG00000241981,1,113
RNA5SP155,ENSG00000223086,1,113
SYT14P1,ENSG00000215127,1,113
LINC02513,ENSG00000248227,17,113
RN7SL169P,ENSG00000242547,1,113
LINC02218,ENSG00000249662,5,113
ENSG00000277968,ENSG00000277968,1,113
ENSG00000301126,ENSG00000301126,7,113
ENSG00000304054,ENSG00000304054,3,113
ENSG00000305473,ENSG00000305473,5,113
IMPDH1P9,ENSG00000218976,3,113
ZC2HC1B,ENSG00000118491,11,113
ENSG00000293099,ENSG00000293099,1,113
ENSG00000302496,ENSG00000302496,2,113
ENSG00000310357,ENSG00000310357,17,113
ENSG00000227532,ENSG00000227532,1,113
ENSG00000243797,ENSG00000243797,21,113
KIAA1210,ENSG00000250423,15,113
GAGE12C,ENSG00000237671,8,113
ENSG00000253532,ENSG00000253532,2,113
ENSG00000297668,ENSG00000297668,1,113
ENSG00000309331,ENSG00000309331,3,113
ENSG00000309923,ENSG00000309923,6,113
ENSG00000227257,ENSG00000227257,1,113
AHCYP2,ENSG00000238181,1,113
SERPINH1P1,ENSG00000229207,1,113
CTAGE12P,ENSG00000215441,1,113
ENSG00000301977,ENSG00000301977,2,113
ENSG00000254434,ENSG00000254434,2,113
TSGA10IP,ENSG00000175513,15,113
ENSG00000293987,ENSG00000293987,4,113
LINC02550,ENSG00000271584,27,113
ENSG00000293710,ENSG00000293710,2,113
ENSG00000282432,ENSG00000282432,1,113
ENSG00000304353,ENSG00000304353,3,113
ENSG00000257543,ENSG00000257543,2,113
HOXC4,ENSG00000198353,9,113
ENSG00000256975,ENSG00000256975,2,113
ENSG00000290063,ENSG00000290063,1,113
LINC01046,ENSG00000233405,14,113
LINC02333,ENSG00000271564,13,113
ENSG00000300221,ENSG00000300221,6,113
ENSG00000297264,ENSG00000297264,4,113
LINC00273,ENSG00000256642,1,113
ENSG00000290420,ENSG00000290420,45,113
ENSG00000273956,ENSG00000273956,8,113
ENSG00000271749,ENSG00000271749,1,113
KRT33B,ENSG00000131738,7,113
TAF5LP1,ENSG00000267369,1,113
LINC01989,ENSG00000261156,14,113
ENSG00000263924,ENSG00000263924,2,113
ENSG00000305384,ENSG00000305384,2,113
GAPLINC,ENSG00000266835,30,113
CYP4F8,ENSG00000186526,33,113
MBD3L3,ENSG00000182315,6,113
RPL23AP80,ENSG00000213035,1,113
ENSG00000267159,ENSG00000267159,4,113
SHROOM2P1,ENSG00000226863,3,113
COA1P1,ENSG00000226989,1,113
MIR548XHG,ENSG00000224141,15,113
ENSG00000273104,ENSG00000273104,1,113
SNORD45B,ENSG00000201487,1,112
ENSG00000289711,ENSG00000289711,3,112
ENSG00000275678,ENSG00000275678,1,112
ENSG00000221083,ENSG00000221083,1,112
RPL29P7,ENSG00000213063,1,112
ENSG00000230790,ENSG00000230790,3,112
ENSG00000271947,ENSG00000271947,1,112
MIR26B,ENSG00000199121,1,112
NDUFB4P5,ENSG00000226114,1,112
ENSG00000277948,ENSG00000277948,1,112
ENSG00000290093,ENSG00000290093,1,112
LINC01939,ENSG00000228799,6,112
DNPEP-AS1,ENSG00000229525,5,112
ENSG00000303312,ENSG00000303312,3,112
ENSG00000298909,ENSG00000298909,3,112
MIR4271,ENSG00000264633,1,112
PGAM1P3,ENSG00000230274,1,112
ENSG00000270782,ENSG00000270782,2,112
RNU6-315P,ENSG00000199536,1,112
ENSG00000307506,ENSG00000307506,2,112
ENSG00000294152,ENSG00000294152,3,112
OR7E29P,ENSG00000243429,1,112
PRKG2-AS1,ENSG00000251059,11,112
RN7SL616P,ENSG00000266477,1,112
ENSG00000297854,ENSG00000297854,7,112
ENSG00000300462,ENSG00000300462,4,112
ENSG00000303119,ENSG00000303119,13,112
ENSG00000309178,ENSG00000309178,2,112
MFFP2,ENSG00000251583,1,112
ENSG00000270661,ENSG00000270661,1,112
ENSG00000219553,ENSG00000219553,1,112
ENSG00000229722,ENSG00000229722,2,112
LINC00518,ENSG00000183674,38,112
DCAF13P1,ENSG00000242562,1,112
LINC02830,ENSG00000224899,3,112
ENSG00000228360,ENSG00000228360,2,112
RN7SL658P,ENSG00000239333,1,112
SNRPEP9,ENSG00000214124,1,112
ENSG00000280116,ENSG00000280116,3,112
ATP6V1G1P2,ENSG00000253502,1,112
ENSG00000212342,ENSG00000212342,1,112
ENSG00000294879,ENSG00000294879,3,112
ENSG00000295066,ENSG00000295066,3,112
ENSG00000214651,ENSG00000214651,2,112
ENSG00000260996,ENSG00000260996,1,112
ENSG00000184906,ENSG00000184906,2,112
ENSG00000293962,ENSG00000293962,3,112
LINC01493,ENSG00000254562,36,112
TSKU-AS1,ENSG00000255100,6,112
SNORA74C-1,ENSG00000265733,1,112
ENSG00000304373,ENSG00000304373,2,112
ENSG00000307985,ENSG00000307985,10,112
ENSG00000298595,ENSG00000298595,5,112
ENSG00000274979,ENSG00000274979,1,112
ENSG00000257025,ENSG00000257025,2,112
ENSG00000255572,ENSG00000255572,5,112
ENSG00000279551,ENSG00000279551,1,112
ENSG00000252192,ENSG00000252192,1,112
ENSG00000257534,ENSG00000257534,2,112
ENSG00000290040,ENSG00000290040,1,112
ENSG00000258355,ENSG00000258355,2,112
MSRB3-AS1,ENSG00000250748,33,112
ENSG00000309568,ENSG00000309568,29,112
H1-8P2,ENSG00000258566,1,112
ENSG00000299988,ENSG00000299988,2,112
CTF2P,ENSG00000230447,3,112
ENSG00000260395,ENSG00000260395,2,112
ENSG00000296133,ENSG00000296133,5,112
ENSG00000289618,ENSG00000289618,1,112
ENSG00000308408,ENSG00000308408,2,112
RPS12P28,ENSG00000240494,1,112
ENSG00000290544,ENSG00000290544,4,112
NFE2L3P1,ENSG00000267497,1,112
DUX4L35,ENSG00000282911,1,112
ENSG00000304405,ENSG00000304405,2,112
ENSG00000306668,ENSG00000306668,2,112
ENSG00000307219,ENSG00000307219,1,112
ENSG00000286063,ENSG00000286063,3,112
ENSG00000269758,ENSG00000269758,3,112
ENSG00000302518,ENSG00000302518,1,112
ENSG00000300005,ENSG00000300005,1,112
IGLC3,ENSG00000211679,1,112
ENSG00000306608,ENSG00000306608,2,112
ENSG00000308154,ENSG00000308154,2,112
SPMIP3,ENSG00000173728,9,111
ENSG00000271992,ENSG00000271992,1,111
ENSG00000299392,ENSG00000299392,2,111
ARL8BP2,ENSG00000214812,2,111
ENSG00000231024,ENSG00000231024,2,111
ENSG00000237370,ENSG00000237370,2,111
RPL27P8,ENSG00000237041,1,111
ENSG00000227878,ENSG00000227878,1,111
MIR4432HG,ENSG00000228590,85,111
ENSG00000295771,ENSG00000295771,1,111
ENSG00000235480,ENSG00000235480,8,111
LINC01891,ENSG00000231682,16,111
MORC1,ENSG00000114487,30,111
NUP210P3,ENSG00000248916,3,111
MINDY4B,ENSG00000214237,14,111
ENSG00000287774,ENSG00000287774,24,111
UBE2E1-AS1,ENSG00000223791,2,111
MAT2AP1,ENSG00000242308,2,111
ENSG00000275426,ENSG00000275426,1,111
ENSG00000248200,ENSG00000248200,2,111
ENSG00000250877,ENSG00000250877,2,111
ENSG00000309457,ENSG00000309457,2,111
GABRP,ENSG00000094755,30,111
ENSG00000268745,ENSG00000268745,1,111
ENSG00000294921,ENSG00000294921,7,111
ENSG00000297462,ENSG00000297462,6,111
ENSG00000299371,ENSG00000299371,3,111
ENSG00000307014,ENSG00000307014,6,111
UBD,ENSG00000213886,4,111
ENSG00000227910,ENSG00000227910,1,111
ENSG00000233417,ENSG00000233417,18,111
ENSG00000306701,ENSG00000306701,10,111
ENSG00000286738,ENSG00000286738,9,111
ENSG00000226010,ENSG00000226010,2,111
RPL7P56,ENSG00000231164,1,111
TAB3-AS1,ENSG00000231542,2,111
ENSG00000282668,ENSG00000282668,1,111
ENSG00000299352,ENSG00000299352,3,111
SLURP1,ENSG00000126233,3,111
ENSG00000302088,ENSG00000302088,1,111
ENSG00000253688,ENSG00000253688,9,111
CYP11B2,ENSG00000179142,14,111
SAMM50P1,ENSG00000224488,1,111
OR13I1P,ENSG00000273423,1,111
IGKV1OR9-1,ENSG00000204780,1,111
MIR873,ENSG00000215939,1,111
IFNWP9,ENSG00000226597,1,111
ENSG00000294876,ENSG00000294876,5,111
ENSG00000302413,ENSG00000302413,2,111
RBMXL2,ENSG00000170748,1,111
FOXR1,ENSG00000176302,13,111
ENSG00000306975,ENSG00000306975,3,111
ENSG00000260137,ENSG00000260137,1,111
COX6CP15,ENSG00000228092,1,111
ENSG00000300364,ENSG00000300364,20,111
MUCL1,ENSG00000172551,11,111
ENSG00000308321,ENSG00000308321,2,111
MTND5P2,ENSG00000229622,2,111
ENSG00000294610,ENSG00000294610,2,111
ENSG00000297914,ENSG00000297914,11,111
ENSG00000201036,ENSG00000201036,1,111
ENSG00000298099,ENSG00000298099,4,111
KBTBD13,ENSG00000234438,1,111
ENSG00000228141,ENSG00000228141,2,111
ENSG00000289547,ENSG00000289547,5,111
ENSG00000275263,ENSG00000275263,1,111
ENSG00000260702,ENSG00000260702,6,111
RN7SL792P,ENSG00000239888,1,111
DHRS7C,ENSG00000184544,10,111
ATP5MGP6,ENSG00000267376,1,111
ENSG00000262979,ENSG00000262979,2,111
ENSG00000264245,ENSG00000264245,1,111
ENSG00000285829,ENSG00000285829,4,111
ENSG00000306739,ENSG00000306739,4,111
RSL24D1P11,ENSG00000231544,1,111
ZNF516-DT,ENSG00000275763,2,111
RPS3P1,ENSG00000230935,1,111
ENSG00000310389,ENSG00000310389,2,111
ENSG00000268987,ENSG00000268987,2,111
VSTM1,ENSG00000189068,18,111
ENSG00000269246,ENSG00000269246,1,111
CGB8,ENSG00000213030,4,111
CSPG4P2Y,ENSG00000244231,2,111
CSPG4P1Y,ENSG00000240450,2,111
RBMX2P1,ENSG00000226406,1,111
MIR6733,ENSG00000284410,1,110
RN7SL165P,ENSG00000241188,1,110
MZT1P1,ENSG00000271264,2,110
RPL10P4,ENSG00000238003,1,110
ENSG00000293526,ENSG00000293526,3,110
ENSG00000295273,ENSG00000295273,2,110
ENSG00000308803,ENSG00000308803,4,110
ENSG00000229172,ENSG00000229172,1,110
ENSG00000307378,ENSG00000307378,6,110
ENSG00000303934,ENSG00000303934,2,110
GSTM3P2,ENSG00000226878,2,110
RNU6-1194P,ENSG00000252017,1,110
CIDECP2,ENSG00000250796,2,110
RN7SL418P,ENSG00000241665,1,110
RPL24P7,ENSG00000215016,1,110
RPL23AP40,ENSG00000242321,1,110
RNU6-720P,ENSG00000252172,1,110
ENSG00000249304,ENSG00000249304,2,110
ENSG00000248637,ENSG00000248637,1,110
ENSG00000305180,ENSG00000305180,2,110
LINC02261,ENSG00000249699,9,110
PSME2P1,ENSG00000238000,1,110
ENSG00000250015,ENSG00000250015,2,110
RN7SL174P,ENSG00000243333,1,110
BTNL3,ENSG00000168903,13,110
MIR6832,ENSG00000274494,1,110
CCN6,ENSG00000112761,19,110
ENSG00000243981,ENSG00000243981,4,110
ENSG00000294797,ENSG00000294797,2,110
AMD1P2,ENSG00000237801,2,110
AMMECR1-IT1,ENSG00000224142,2,110
ENSG00000296295,ENSG00000296295,3,110
ENSG00000253912,ENSG00000253912,1,110
GOT1L1,ENSG00000169154,13,110
ENSG00000295724,ENSG00000295724,6,110
ENSG00000285601,ENSG00000285601,5,110
EIF1P1,ENSG00000229875,1,110
ENSG00000293940,ENSG00000293940,2,110
ENSG00000274664,ENSG00000274664,1,110
OR52N4,ENSG00000181074,2,110
ENSG00000299978,ENSG00000299978,2,110
ENSG00000300056,ENSG00000300056,12,110
ENSG00000306299,ENSG00000306299,3,110
ENSG00000298594,ENSG00000298594,2,110
PLAAT2,ENSG00000133328,7,110
ENSG00000306073,ENSG00000306073,18,110
RNU6-199P,ENSG00000199824,1,110
ENSG00000255753,ENSG00000255753,5,110
ENSG00000308522,ENSG00000308522,3,110
ENSG00000309652,ENSG00000309652,3,110
DDX6P2,ENSG00000277914,2,110
ENSG00000303246,ENSG00000303246,1,110
EIF3LP1,ENSG00000258501,1,110
COX7A2P1,ENSG00000258626,1,110
NF1P4,ENSG00000258027,11,110
RNASE3,ENSG00000169397,2,110
ENSG00000301710,ENSG00000301710,1,110
ENSG00000258698,ENSG00000258698,4,110
ENSG00000285805,ENSG00000285805,2,110
IL27,ENSG00000197272,7,110
ENSG00000273553,ENSG00000273553,1,110
ENSG00000261466,ENSG00000261466,8,110
ENSG00000263189,ENSG00000263189,1,110
ENSG00000306453,ENSG00000306453,4,110
BDP1P,ENSG00000264736,1,110
ENSG00000228835,ENSG00000228835,4,110
EIF4E2P1,ENSG00000213384,1,110
ENSG00000278410,ENSG00000278410,1,110
RPS4XP2,ENSG00000226948,1,110
ENSG00000268499,ENSG00000268499,2,110
ENSG00000286267,ENSG00000286267,1,110
MYL6P1,ENSG00000226543,1,110
ENSG00000304265,ENSG00000304265,2,110
ARPC3P2,ENSG00000238137,1,109
ENSG00000237317,ENSG00000237317,1,109
ENSG00000305575,ENSG00000305575,10,109
ENSG00000306957,ENSG00000306957,2,109
ENSG00000297143,ENSG00000297143,6,109
MIR7157,ENSG00000283506,1,109
ENSG00000227574,ENSG00000227574,3,109
LINC01381,ENSG00000230452,2,109
ENSG00000232328,ENSG00000232328,26,109
RN7SL110P,ENSG00000241064,1,109
RN7SL411P,ENSG00000265327,1,109
FAUP2,ENSG00000237806,2,109
ENSG00000296457,ENSG00000296457,2,109
ENSG00000304564,ENSG00000304564,57,109
RN7SL153P,ENSG00000244748,1,109
ENSG00000280449,ENSG00000280449,1,109
SETP22,ENSG00000213701,1,109
ENSG00000303807,ENSG00000303807,12,109
ENSG00000308477,ENSG00000308477,4,109
ENSG00000297797,ENSG00000297797,13,109
ENSG00000233902,ENSG00000233902,1,109
ENSG00000276156,ENSG00000276156,2,109
ENSG00000301043,ENSG00000301043,1,109
ENSG00000305289,ENSG00000305289,5,109
LINC01149,ENSG00000230174,4,109
ENSG00000301189,ENSG00000301189,3,109
PPP1R2P6,ENSG00000241661,1,109
MIR339,ENSG00000199023,1,109
YBX1P8,ENSG00000226048,1,109
RPL32P35,ENSG00000223995,1,109
ENSG00000297641,ENSG00000297641,7,109
RPL13AP18,ENSG00000241746,1,109
ENSG00000297282,ENSG00000297282,8,109
ENSG00000253300,ENSG00000253300,10,109
ENSG00000253175,ENSG00000253175,2,109
ENSG00000253130,ENSG00000253130,41,109
ENSG00000302029,ENSG00000302029,4,109
RN7SL640P,ENSG00000278825,1,109
ENSG00000266446,ENSG00000266446,2,109
ENSG00000232896,ENSG00000232896,5,109
ENSG00000295708,ENSG00000295708,2,109
ARMS2,ENSG00000254636,2,109
ENSG00000302586,ENSG00000302586,1,109
MIR6757,ENSG00000278108,1,109
RNU6-879P,ENSG00000201198,1,109
ENSG00000257121,ENSG00000257121,1,109
ENSG00000306515,ENSG00000306515,2,109
ENSG00000298166,ENSG00000298166,5,109
ENSG00000306386,ENSG00000306386,1,109
ENSG00000301195,ENSG00000301195,1,109
ENSG00000278071,ENSG00000278071,5,109
DLGAP5,ENSG00000126787,39,109
ENSG00000259656,ENSG00000259656,2,109
ENSG00000270702,ENSG00000270702,1,109
RN7SL487P,ENSG00000243871,1,109
ENSG00000268531,ENSG00000268531,1,109
ENSG00000296637,ENSG00000296637,2,109
ENSG00000305595,ENSG00000305595,6,109
ZP2,ENSG00000103310,28,109
ENSG00000300023,ENSG00000300023,3,109
ENSG00000298025,ENSG00000298025,2,109
ENSG00000307441,ENSG00000307441,1,109
ENSG00000285550,ENSG00000285550,9,109
ERVV-2,ENSG00000268964,2,109
ENSG00000293305,ENSG00000293305,17,109
ENSG00000286149,ENSG00000286149,1,109
RPS5P3,ENSG00000215088,1,109
ENSG00000302169,ENSG00000302169,3,109
ENSG00000232360,ENSG00000232360,2,109
ADH5P2,ENSG00000232676,1,108
ENSG00000272175,ENSG00000272175,1,108
RN7SL574P,ENSG00000266075,1,108
ENSG00000301502,ENSG00000301502,2,108
ENSG00000286552,ENSG00000286552,8,108
ENSG00000308086,ENSG00000308086,1,108
ENSG00000308919,ENSG00000308919,2,108
ENSG00000232768,ENSG00000232768,1,108
CDK8P1,ENSG00000230044,1,108
SNRPEP11,ENSG00000230299,1,108
MYO7B-AS1,ENSG00000272789,1,108
LINC02946,ENSG00000287036,29,108
ENSG00000295447,ENSG00000295447,1,108
ENSG00000297117,ENSG00000297117,2,108
ENSG00000303263,ENSG00000303263,12,108
ENSG00000307480,ENSG00000307480,4,108
ENSG00000295626,ENSG00000295626,3,108
ENSG00000299887,ENSG00000299887,5,108
RNF13P1,ENSG00000242068,1,108
ENSG00000291222,ENSG00000291222,3,108
ENSG00000289460,ENSG00000289460,4,108
IL12B,ENSG00000113302,11,108
ENSG00000301558,ENSG00000301558,7,108
ENSG00000302617,ENSG00000302617,2,108
FRMD1,ENSG00000153303,36,108
ENSG00000288010,ENSG00000288010,10,108
ENSG00000296677,ENSG00000296677,4,108
ENSG00000236389,ENSG00000236389,7,108
ENSG00000298437,ENSG00000298437,5,108
ENSG00000310503,ENSG00000310503,2,108
ENSG00000300668,ENSG00000300668,2,108
ENSG00000303071,ENSG00000303071,9,108
ENSG00000229263,ENSG00000229263,2,108
RAD21P1,ENSG00000238116,1,108
RNA5SP501,ENSG00000222922,1,108
ENSG00000303112,ENSG00000303112,2,108
PORCN-DT,ENSG00000224292,4,108
ENSG00000306822,ENSG00000306822,7,108
MYL12AP1,ENSG00000254387,1,108
SLC7A2-IT1,ENSG00000279903,1,108
ENSG00000286131,ENSG00000286131,1,108
ENSG00000293948,ENSG00000293948,2,108
ENSG00000301307,ENSG00000301307,2,108
ENSG00000303518,ENSG00000303518,3,108
LINC02839,ENSG00000254123,10,108
ENSG00000287318,ENSG00000287318,2,108
FAM74A4,ENSG00000274583,12,108
ENSG00000300025,ENSG00000300025,6,108
ENSG00000305775,ENSG00000305775,7,108
ENSG00000300930,ENSG00000300930,7,108
OR5AK4P,ENSG00000283307,1,108
RN7SL225P,ENSG00000239856,1,108
ENSG00000254691,ENSG00000254691,2,108
YBX2P1,ENSG00000213438,1,108
OR7M1P,ENSG00000273336,1,108
ENSG00000307488,ENSG00000307488,1,108
ENSG00000299418,ENSG00000299418,2,108
LINC00399,ENSG00000229792,2,108
ENSG00000294901,ENSG00000294901,2,108
ENSG00000303357,ENSG00000303357,7,108
ENSG00000259152,ENSG00000259152,2,108
ENSG00000270378,ENSG00000270378,1,108
LINC02896,ENSG00000259215,2,108
ENSG00000259697,ENSG00000259697,16,108
ENSG00000303724,ENSG00000303724,3,108
ENSG00000279732,ENSG00000279732,1,108
ENSG00000261789,ENSG00000261789,1,108
ENSG00000304267,ENSG00000304267,4,108
ZG16B,ENSG00000162078,18,108
ENSG00000274758,ENSG00000274758,1,108
ENSG00000272164,ENSG00000272164,1,108
ENSG00000306856,ENSG00000306856,2,108
ENSG00000296346,ENSG00000296346,2,108
ENSG00000276092,ENSG00000276092,1,108
ENSG00000265948,ENSG00000265948,2,108
OACYLP,ENSG00000224367,15,108
ENSG00000296819,ENSG00000296819,1,108
ENSG00000278492,ENSG00000278492,1,108
ENSG00000225480,ENSG00000225480,1,108
ENSG00000231236,ENSG00000231236,13,108
LINC01690,ENSG00000228961,4,108
MIR6808,ENSG00000284372,1,107
ENSG00000233877,ENSG00000233877,1,107
RN7SL583P,ENSG00000239504,1,107
RN7SL488P,ENSG00000264271,1,107
ENSG00000229607,ENSG00000229607,6,107
ENSG00000300975,ENSG00000300975,30,107
ENSG00000307827,ENSG00000307827,3,107
ENSG00000308324,ENSG00000308324,2,107
MALLP1,ENSG00000282785,3,107
ENSG00000294552,ENSG00000294552,1,107
ENSG00000298938,ENSG00000298938,2,107
MYL6BP1,ENSG00000228380,1,107
ENSG00000287981,ENSG00000287981,2,107
ENSG00000303878,ENSG00000303878,6,107
ENSG00000305988,ENSG00000305988,8,107
ENSG00000308882,ENSG00000308882,2,107
ENSG00000248532,ENSG00000248532,1,107
ENSG00000278778,ENSG00000278778,1,107
ENSG00000307857,ENSG00000307857,35,107
ENSG00000251248,ENSG00000251248,2,107
ENSG00000302231,ENSG00000302231,4,107
ENSG00000308476,ENSG00000308476,3,107
POU4F3,ENSG00000091010,4,107
ENSG00000225311,ENSG00000225311,2,107
ENSG00000298487,ENSG00000298487,1,107
ENSG00000200113,ENSG00000200113,1,107
ENSG00000228974,ENSG00000228974,1,107
ENSG00000231357,ENSG00000231357,1,107
ENSG00000308815,ENSG00000308815,11,107
DGAT2L6,ENSG00000184210,7,107
ENSG00000298573,ENSG00000298573,15,107
ENSG00000263612,ENSG00000263612,1,107
ENSG00000297078,ENSG00000297078,5,107
ENSG00000287289,ENSG00000287289,4,107
ENSG00000305763,ENSG00000305763,4,107
MTND6P5,ENSG00000227730,1,107
ENSG00000294815,ENSG00000294815,2,107
H3P33,ENSG00000255492,1,107
OR52H2P,ENSG00000248553,1,107
MYOD1,ENSG00000129152,3,107
ALG9-IT1,ENSG00000254450,2,107
GPR152,ENSG00000175514,1,107
RNY4P6,ENSG00000200537,1,107
MTND2P26,ENSG00000254565,1,107
RN7SL188P,ENSG00000241943,1,107
ENSG00000280167,ENSG00000280167,1,107
ENSG00000298934,ENSG00000298934,9,107
LINC02706,ENSG00000255344,29,107
SNORA74C-2,ENSG00000288603,1,107
EIF3LP3,ENSG00000226086,1,107
ENSG00000285671,ENSG00000285671,3,107
ENSG00000305459,ENSG00000305459,1,107
RPL21P18,ENSG00000213343,1,107
ENSG00000298879,ENSG00000298879,2,107
ENSG00000289980,ENSG00000289980,10,107
LINC02335,ENSG00000278630,19,107
RNU6-91P,ENSG00000272439,1,107
SNORD114-30,ENSG00000201318,1,107
IGHV3-7,ENSG00000211938,2,107
ENSG00000300202,ENSG00000300202,13,107
SERPINE4P,ENSG00000258624,1,107
RPL21P116,ENSG00000243711,1,107
ENSG00000306438,ENSG00000306438,2,107
ENSG00000261575,ENSG00000261575,2,107
ENSG00000298194,ENSG00000298194,1,107
HIGD1AP16,ENSG00000219608,1,107
ENSG00000280387,ENSG00000280387,1,107
ENSG00000242507,ENSG00000242507,5,107
BNIP3P32,ENSG00000268830,2,107
SNORD88A,ENSG00000221241,1,107
MIR199A1,ENSG00000207752,1,107
ENSG00000296816,ENSG00000296816,6,107
ENSG00000279440,ENSG00000279440,1,107
ENSG00000273176,ENSG00000273176,2,107
ENSG00000286057,ENSG00000286057,1,107
LINC01352,ENSG00000238078,4,106
ENSG00000287989,ENSG00000287989,2,106
PRELID1P5,ENSG00000226986,1,106
ENSG00000286210,ENSG00000286210,20,106
ENSG00000289589,ENSG00000289589,7,106
ENSG00000307795,ENSG00000307795,2,106
CIB4,ENSG00000157884,11,106
PABPC1P6,ENSG00000227497,2,106
FAM133EP,ENSG00000270528,1,106
ENSG00000298849,ENSG00000298849,15,106
ENSG00000283635,ENSG00000283635,4,106
FANCD2P2,ENSG00000230342,14,106
RPS12P7,ENSG00000243314,1,106
ENSG00000296269,ENSG00000296269,37,106
ENSG00000298505,ENSG00000298505,26,106
CASR,ENSG00000036828,21,106
RN7SL492P,ENSG00000240545,1,106
OSTCP4,ENSG00000220924,1,106
ENSG00000270720,ENSG00000270720,1,106
SNORD73A,ENSG00000208797,1,106
ENSG00000295891,ENSG00000295891,2,106
ENSG00000301404,ENSG00000301404,4,106
ENSG00000280009,ENSG00000280009,1,106
ENSG00000251387,ENSG00000251387,2,106
ENSG00000306169,ENSG00000306169,2,106
ENSG00000279565,ENSG00000279565,1,106
MIR6834,ENSG00000284064,1,106
RPL7AP37,ENSG00000213109,1,106
ENSG00000300544,ENSG00000300544,3,106
ENSG00000308177,ENSG00000308177,7,106
SLC25A51P1,ENSG00000220483,1,106
BUB3P1,ENSG00000227968,1,106
MIR4649,ENSG00000284412,1,106
RN7SL505P,ENSG00000241420,1,106
ENSG00000294730,ENSG00000294730,2,106
ENSG00000306686,ENSG00000306686,2,106
ENSG00000282501,ENSG00000282501,1,106
ENSG00000274655,ENSG00000274655,1,106
ENSG00000309531,ENSG00000309531,2,106
ENSG00000254207,ENSG00000254207,2,106
ENSG00000253317,ENSG00000253317,2,106
ENSG00000253956,ENSG00000253956,3,106
LINC03018,ENSG00000254139,2,106
ENSG00000297945,ENSG00000297945,2,106
SNORD36B,ENSG00000200831,1,106
MIR601,ENSG00000207991,1,106
ENSG00000230147,ENSG00000230147,1,106
RNU6-16P,ENSG00000207113,1,106
NXPE2P1,ENSG00000255982,1,106
ENSG00000236710,ENSG00000236710,2,106
ENSG00000309945,ENSG00000309945,8,106
MIR3941,ENSG00000265442,1,106
ENSG00000278498,ENSG00000278498,1,106
ENSG00000212461,ENSG00000212461,1,106
RNA5SP355,ENSG00000202187,1,106
ENSG00000275476,ENSG00000275476,1,106
TAS2R8,ENSG00000121314,1,106
ENSG00000288814,ENSG00000288814,1,106
ENSG00000302632,ENSG00000302632,2,106
NF1P7,ENSG00000278143,11,106
ENSG00000261219,ENSG00000261219,1,106
GOLGA6EP,ENSG00000187812,18,106
ENSG00000300894,ENSG00000300894,5,106
ENSG00000303391,ENSG00000303391,15,106
ENSG00000291002,ENSG00000291002,22,106
SNRPCP20,ENSG00000267182,1,106
RN7SL279P,ENSG00000265648,1,106
ENSG00000274038,ENSG00000274038,1,106
ENSG00000260610,ENSG00000260610,1,106
